title,platform,score,genre,release_year,release_month,Game_genre_rate,Prop_of_genre_on_platf,Mean_score_per_genre
Last Epoch,PC,8.0,Action,2024,2,1.162,0.243,7.019
Pacific Drive,PC,7.0,Adventure,2024,2,0.996,0.119,7.203
Helldivers II,PC,9.0,Action,2024,2,1.307,0.243,7.019
Deep Rock Galactic: Survivor,PC,8.0,Action,2024,2,1.162,0.243,7.019
Atomic Heart - Trapped in Limbo,PlayStation 4,3.0,Action,2024,2,0.436,0.355,7.387
Atomic Heart - Trapped in Limbo,PC,3.0,Action,2024,2,0.436,0.243,7.019
Atomic Heart - Trapped in Limbo,Xbox One,3.0,Action,2024,2,0.436,0.349,7.329
Banishers,Xbox Series X|S,7.0,Action,2024,2,1.017,0.402,6.639
Banishers,PC,7.0,Action,2024,2,1.017,0.243,7.019
The Inquisitor,PC,6.0,Action,2024,2,0.871,0.243,7.019
Suicide Squad,PC,5.0,Action,2024,1,0.726,0.243,7.019
Granblue Fantasy: Relink,PlayStation 4,8.0,Action,2024,2,1.162,0.355,7.387
Granblue Fantasy: Relink,PC,8.0,Action,2024,2,1.162,0.243,7.019
Persona 3: Reload,Xbox One,9.0,RPG,2024,2,1.192,0.085,7.584
Persona 3: Reload,PlayStation 5,9.0,RPG,2024,2,1.192,0.076,7.473
Persona 3: Reload,PlayStation 4,9.0,RPG,2024,2,1.192,0.096,7.513
Persona 3: Reload,PC,9.0,RPG,2024,2,1.192,0.092,7.66
Palworld,Xbox One,7.0,RPG,2024,1,0.927,0.085,7.584
Palworld,PC,7.0,RPG,2024,1,0.927,0.092,7.66
Enshrouded,PC,8.0,Action,2024,12,1.162,0.243,7.019
Enshrouded,PlayStation 5,8.0,Action,2024,12,1.162,0.396,7.118
Palworld,Xbox One,8.0,RPG,2024,1,1.059,0.085,7.584
Palworld,PC,8.0,RPG,2024,1,1.059,0.092,7.66
Like a Dragon: Infinite Wealth,PlayStation 4,9.0,Action,2024,1,1.307,0.355,7.387
Like a Dragon: Infinite Wealth,PlayStation 5,9.0,Action,2024,1,1.307,0.396,7.118
Like a Dragon: Infinite Wealth,PC,9.0,Action,2024,1,1.307,0.243,7.019
Like a Dragon: Infinite Wealth,Xbox One,9.0,Action,2024,1,1.307,0.349,7.329
Turnip Boy Robs a Bank,Xbox Series X|S,8.0,PC,2024,1,1.089,0.118,7.513
Turnip Boy Robs a Bank,PC,8.0,PC,2024,1,1.089,0.009,7.247
Prince of Persia: The Lost Crown,Nintendo Switch,8.0,Ubisoft,2024,1,1.125,0.017,8.0
Prince of Persia: The Lost Crown,PlayStation 4,8.0,Ubisoft,2024,1,1.125,0.025,7.096
Prince of Persia: The Lost Crown,Xbox One,8.0,Ubisoft,2024,1,1.125,0.032,6.961
Supernormal,PC,6.0,Action,2024,1,0.871,0.243,7.019
Fortnite: Rocket Racing,Android,6.0,Racing,2023,12,0.88,0.047,7.0
Fortnite: Rocket Racing,Xbox One,6.0,Racing,2023,12,0.88,0.068,7.754
Fortnite: Rocket Racing,PlayStation 4,6.0,Racing,2023,12,0.88,0.052,7.489
Fortnite: Rocket Racing,PC,6.0,Racing,2023,12,0.88,0.06,7.141
Fortnite: Rocket Racing,Xbox Series X|S,6.0,Racing,2023,12,0.88,0.047,7.667
Fortnite: Rocket Racing,Macintosh,6.0,Racing,2023,12,0.88,0.029,7.35
Silent Hill: Ascension,iPhone,5.0,Adventure,2023,10,0.711,0.068,7.744
Silent Hill: Ascension,PC,5.0,Adventure,2023,10,0.711,0.119,7.203
Silent Hill: Ascension,iPad,5.0,Adventure,2023,10,0.711,0.189,8.013
Silent Hill: Ascension,Android,5.0,Adventure,2023,10,0.711,0.093,7.45
The Finals,PC,8.0,PC,2023,12,1.089,0.009,7.247
Warhammer 40K: Rogue Trader,Macintosh,8.0,RPG,2023,12,1.059,0.073,8.32
Warhammer 40K: Rogue Trader,PC,8.0,RPG,2023,12,1.059,0.092,7.66
Warhammer 40K: Rogue Trader,PlayStation 5,8.0,RPG,2023,12,1.059,0.076,7.473
Resident Evil 4,PC,8.0,Action,2023,12,1.162,0.243,7.019
Resident Evil 4,PlayStation 4,8.0,Action,2023,12,1.162,0.355,7.387
Resident Evil 4,Xbox Series X|S,8.0,Action,2023,12,1.162,0.402,6.639
Resident Evil 4,iPad,8.0,Action,2023,12,1.162,0.246,7.037
Resident Evil 4,Macintosh,8.0,Action,2023,12,1.162,0.226,7.661
Granblue Fantasy Versus: Rising,PlayStation 4,9.0,Fighting,2023,12,1.275,0.028,7.71
Granblue Fantasy Versus: Rising,PC,9.0,Fighting,2023,12,1.275,0.009,7.345
Cookie Cutter,PC,7.0,Action,2023,12,1.017,0.243,7.019
Cookie Cutter,Xbox Series X|S,7.0,Action,2023,12,1.017,0.402,6.639
Fortnite Festival,PC,4.0,Music,2023,12,0.574,0.005,6.535
Fortnite Festival,Xbox One,4.0,Music,2023,12,0.574,0.009,7.338
Fortnite Festival,PlayStation 4,4.0,Music,2023,12,0.574,0.009,7.356
Fortnite Festival,Xbox Series X|S,4.0,Music,2023,12,0.574,0.008,4.0
Fortnite Festival,Macintosh,4.0,Music,2023,12,0.574,0.015,6.5
Fortnite Festival,Android,4.0,Music,2023,12,0.574,0.012,4.0
Asgard’s Wrath 2,Meta Quest Pro,10.0,RPG,2023,12,1.324,1.0,10.0
LEGO Fortnite,Xbox One,7.0,Action,2023,12,1.017,0.349,7.329
LEGO Fortnite,PlayStation 5,7.0,Action,2023,12,1.017,0.396,7.118
LEGO Fortnite,Android,7.0,Action,2023,12,1.017,0.372,7.159
LEGO Fortnite,Macintosh,7.0,Action,2023,12,1.017,0.226,7.661
LEGO Fortnite,PlayStation 4,7.0,Action,2023,12,1.017,0.355,7.387
LEGO Fortnite,PC,7.0,Action,2023,12,1.017,0.243,7.019
The Day Before,PC,1.0,Action,2023,12,0.145,0.243,7.019
Sonic Dream Team,iPod,8.0,SEGA,2023,12,1.044,0.045,8.0
Sonic Dream Team,iPhone,8.0,SEGA,2023,12,1.044,0.001,8.0
Sonic Dream Team,Macintosh,8.0,SEGA,2023,12,1.044,0.036,8.0
The Anacrusis,Xbox One,4.0,PC,2022,1,0.544,0.064,7.246
Avatar: Frontiers of Pandora,Xbox Series X|S,7.0,Ubisoft,2023,12,0.985,0.016,7.5
Arizona Sunshine II,PC,8.0,PC,2023,12,1.089,0.009,7.247
Lethal Company,PC,7.0,Action,2023,10,1.017,0.243,7.019
The Walking Dead: Destinies,PC,2.0,Action,2023,11,0.29,0.243,7.019
The Walking Dead: Destinies,Xbox One,2.0,Action,2023,11,0.29,0.349,7.329
The Walking Dead: Destinies,PlayStation 4,2.0,Action,2023,11,0.29,0.355,7.387
The Walking Dead: Destinies,Xbox Series X|S,2.0,Action,2023,11,0.29,0.402,6.639
SteamWorld Build,PlayStation 4,7.0,PlayStation 4,2023,12,1.033,0.027,6.893
SteamWorld Build,PC,7.0,PlayStation 4,2023,12,1.033,0.006,6.792
SteamWorld Build,PlayStation 5,7.0,PlayStation 4,2023,12,1.033,0.069,6.3
Bluey: The Videogame,PC,4.0,Adventure,2023,11,0.569,0.119,7.203
Bluey: The Videogame,Xbox One,4.0,Adventure,2023,11,0.569,0.137,7.326
Bluey: The Videogame,PlayStation 4,4.0,Adventure,2023,11,0.569,0.142,7.386
Flashback 2,PlayStation 5,2.0,Sci-Fi,2024,9,0.325,0.021,6.0
Flashback 2,PlayStation 4,2.0,Sci-Fi,2024,9,0.325,0.005,5.6
Flashback 2,Xbox One,2.0,Sci-Fi,2024,9,0.325,0.003,4.667
Naruto x Boruto Ultimate Ninja Storm Connections,Xbox Series X|S,5.0,Bandai Namco Games,2023,11,0.73,0.024,6.6
Naruto x Boruto Ultimate Ninja Storm Connections,Xbox One,5.0,Bandai Namco Games,2023,11,0.73,0.007,7.283
Naruto x Boruto Ultimate Ninja Storm Connections,PC,5.0,Bandai Namco Games,2023,11,0.73,0.001,6.38
The Last Faith,Xbox One,7.0,Action,2023,11,1.017,0.349,7.329
The Last Faith,Macintosh,7.0,Action,2023,11,1.017,0.226,7.661
The Last Faith,PlayStation 5,7.0,Action,2023,11,1.017,0.396,7.118
The Last Faith,PC,7.0,Action,2023,11,1.017,0.243,7.019
The Last Faith,PlayStation 4,7.0,Action,2023,11,1.017,0.355,7.387
Persona 5 Tactica,PlayStation 4,8.0,SEGA,2023,11,1.044,0.009,7.689
Persona 5 Tactica,PC,8.0,SEGA,2023,11,1.044,0.002,7.743
Persona 5 Tactica,Xbox Series X|S,8.0,SEGA,2023,11,1.044,0.031,7.25
My Time at Sandrock,Xbox One,8.0,RPG,2024,12,1.059,0.085,7.584
My Time at Sandrock,PC,8.0,RPG,2024,12,1.059,0.092,7.66
My Time at Sandrock,PlayStation 5,8.0,RPG,2024,12,1.059,0.076,7.473
My Time at Sandrock,PlayStation 4,8.0,RPG,2024,12,1.059,0.096,7.513
For the King 2,PC,6.0,Adventure,2023,11,0.853,0.119,7.203
Nickelodeon All-Star Brawl 2,PC,9.0,Action,2023,11,1.307,0.243,7.019
Nickelodeon All-Star Brawl 2,PlayStation 4,9.0,Action,2023,11,1.307,0.355,7.387
Nickelodeon All-Star Brawl 2,Xbox Series X|S,9.0,Action,2023,11,1.307,0.402,6.639
Nickelodeon All-Star Brawl 2,Xbox One,9.0,Action,2023,11,1.307,0.349,7.329
EA Sports WRC,PlayStation 5,6.0,Racing,2023,11,0.88,0.042,6.667
EA Sports WRC,PC,6.0,Racing,2023,11,0.88,0.06,7.141
Like a Dragon Gaiden,PC,7.0,Action,2023,11,1.017,0.243,7.019
Like a Dragon Gaiden,Xbox Series X|S,7.0,Action,2023,11,1.017,0.402,6.639
Like a Dragon Gaiden,PlayStation 4,7.0,Action,2023,11,1.017,0.355,7.387
Like a Dragon Gaiden,Xbox One,7.0,Action,2023,11,1.017,0.349,7.329
The Talos Principle 2,PC,8.0,Adventure,2023,11,1.138,0.119,7.203
The Invincible,PC,5.0,Sci-Fi,2023,11,0.811,0.001,6.8
Thirsty Suitors,Nintendo Switch,8.0,Adventure,2023,11,1.138,0.169,6.9
Thirsty Suitors,PC,8.0,Adventure,2023,11,1.138,0.119,7.203
Thirsty Suitors,PlayStation 4,8.0,Adventure,2023,11,1.138,0.142,7.386
Thirsty Suitors,Xbox One,8.0,Adventure,2023,11,1.138,0.137,7.326
Dead Island 2: Haus,PC,6.0,Action,2023,11,0.871,0.243,7.019
Dead Island 2: Haus,Xbox One,6.0,Action,2023,11,0.871,0.349,7.329
Dead Island 2: Haus,PlayStation 4,6.0,Action,2023,11,0.871,0.355,7.387
UFC 5,PlayStation 5,9.0,Sports,2023,10,1.279,0.076,6.545
The Lord of the Rings: Return to Moria,PC,4.0,Action,2024,12,0.581,0.243,7.019
The Lord of the Rings: Return to Moria,Xbox Series X|S,4.0,Action,2024,12,0.581,0.402,6.639
Alan Wake 2,PC,9.0,Action,2023,10,1.307,0.243,7.019
Stray Souls,Xbox One,4.0,Adventure,2023,10,0.569,0.137,7.326
Stray Souls,PlayStation 4,4.0,Adventure,2023,10,0.569,0.142,7.386
Stray Souls,PC,4.0,Adventure,2023,10,0.569,0.119,7.203
Ghostrunner 2,PC,9.0,Action,2023,10,1.307,0.243,7.019
Cities: Skylines II,PlayStation 5,6.0,PC,2024,12,0.816,0.028,6.75
Laika,PC,9.0,Action,2024,1,1.307,0.243,7.019
Laika,Xbox One,9.0,Action,2024,1,1.307,0.349,7.329
Laika,PlayStation 4,9.0,Action,2024,1,1.307,0.355,7.387
Laika,Nintendo Switch,9.0,Action,2024,1,1.307,0.356,7.881
Hellboy Web of Wyrd,Xbox One,6.0,Action,2023,10,0.871,0.349,7.329
Hellboy Web of Wyrd,PC,6.0,Action,2023,10,0.871,0.243,7.019
Hellboy Web of Wyrd,PlayStation 4,6.0,Action,2023,10,0.871,0.355,7.387
Hellboy Web of Wyrd,PlayStation 5,6.0,Action,2023,10,0.871,0.396,7.118
Skull Island: Rise of Kong,Xbox One,3.0,Action,2023,10,0.436,0.349,7.329
Skull Island: Rise of Kong,PC,3.0,Action,2023,10,0.436,0.243,7.019
Skull Island: Rise of Kong,PlayStation 5,3.0,Action,2023,10,0.436,0.396,7.118
Skull Island: Rise of Kong,PlayStation 4,3.0,Action,2023,10,0.436,0.355,7.387
Mortal Kombat Legends: Cage Match,On-Demand,6.0,Action,2023,10,0.871,0.833,6.4
Hot Wheels Unleashed 2,PlayStation 5,8.0,Racing,2023,10,1.173,0.042,6.667
Hot Wheels Unleashed 2,Xbox One,8.0,Racing,2023,10,1.173,0.068,7.754
Hot Wheels Unleashed 2,PC,8.0,Racing,2023,10,1.173,0.06,7.141
Hot Wheels Unleashed 2,PlayStation 4,8.0,Racing,2023,10,1.173,0.052,7.489
Sonic Superstars,PC,7.0,SEGA,2023,10,0.913,0.002,7.743
Sonic Superstars,Xbox Series X|S,7.0,SEGA,2023,10,0.913,0.031,7.25
Sonic Superstars,Xbox One,7.0,SEGA,2023,10,0.913,0.005,7.25
Star Trek: Infinite,PC,5.0,PC,2023,10,0.68,0.009,7.247
Lords of the Fallen,PlayStation 5,8.0,Action,2023,10,1.162,0.396,7.118
