title,platform,score,genre,release_year,release_month,Game_genre_rate,Prop_of_genre_on_platf,Mean_score_per_genre
NBA Street,PlayStation 2,9.3,Sports,2001,6,1.322,0.185,7.206
Worms World Party,PC,8.0,Strategy,2001,6,1.098,0.153,7.314
Twisted Metal: Black,PlayStation 2,9.6,Shooter,2001,6,1.347,0.065,6.655
Air Command 3.0,PC,7.0,Simulation,2001,6,1.022,0.053,7.105
Z: Steel Soldiers,PC,7.8,Strategy,2001,6,1.07,0.153,7.314
Namco Museum,Game Boy Advance,8.5,Action,2001,6,1.235,0.407,6.456
Alone in the Dark: The New Nightmare,Game Boy Color,4.0,Adventure,2001,7,0.569,0.037,5.308
Bomberman Tournament,Game Boy Advance,8.5,Action,2001,7,1.235,0.407,6.456
Mat Hoffman's Pro BMX,Game Boy Color,8.0,Sports,2001,7,1.137,0.144,5.647
Tomb Raider: Curse of the Sword,Game Boy Color,9.0,Action,2001,7,1.307,0.359,6.362
Hot Potato,Game Boy Advance,8.0,Action,2001,7,1.162,0.407,6.456
Star Trek: Deep Space Nine: Dominion Wars,PC,5.8,Strategy,2001,7,0.796,0.153,7.314
Diablo II: Lord of Destruction,PC,8.8,Action,2001,7,1.278,0.243,7.019
World Destruction League: War Jetz,PlayStation 2,5.5,Action,2001,7,0.799,0.28,6.794
Emperor: Battle for Dune,PC,8.0,Strategy,2001,6,1.098,0.153,7.314
Rayman Advance,Game Boy Advance,9.0,Platformer,2001,6,1.246,0.08,6.99
Earthworm Jim,Game Boy Advance,7.0,Action,2001,6,1.017,0.407,6.456
Leadfoot: Stadium Off Road Racing,PC,7.8,Racing,2001,6,1.144,0.06,7.141
Iridion 3D,Game Boy Advance,5.5,Shooter,2001,6,0.772,0.029,6.444
Army Men Advance,Game Boy Advance,7.0,Action,2001,6,1.017,0.407,6.456
Fire Pro Wrestling,Game Boy Advance,7.5,Wrestling,2001,6,1.073,0.011,5.714
Ready 2 Rumble Boxing: Round 2,Game Boy Advance,3.5,Sports,2001,6,0.497,0.109,6.418
MX 2002 Featuring Ricky Carmichael,PlayStation 2,8.3,Racing,2001,7,1.217,0.122,6.539
Zeus -- Official Expansion: Poseidon,PC,8.5,Strategy,2001,7,1.166,0.153,7.314
Star Trek: Starfleet Command: Orion Pirates,PC,7.8,Strategy,2001,7,1.07,0.153,7.314
911 Fire Rescue,PC,5.5,Action,2001,6,0.799,0.243,7.019
Baldur's Gate II: Throne of Bhaal,PC,9.0,RPG,2001,6,1.192,0.092,7.66
Stupid Invaders,Dreamcast,7.0,Adventure,2001,6,0.996,0.038,6.282
NASCAR Heat 2002,PlayStation 2,8.1,Racing,2001,6,1.188,0.122,6.539
Echelon,PC,7.2,Action,2001,6,1.046,0.243,7.019
Castlevania: Circle of the Moon,Game Boy Advance,9.0,Action,2001,6,1.307,0.407,6.456
Chu Chu Rocket,Game Boy Advance,8.5,Puzzle,2001,6,1.194,0.052,6.728
Super Mario Advance,Game Boy Advance,8.0,Platformer,2001,6,1.108,0.08,6.99
GT Advance Championship Racing,Game Boy Advance,8.0,Racing,2001,6,1.173,0.088,6.722
Super Dodge Ball Advance,Game Boy Advance,6.5,Sports,2001,6,0.924,0.109,6.418
Hostile Waters: Antaeus Rising,PC,8.7,Strategy,2001,6,1.194,0.153,7.314
Motor Mayhem,PlayStation 2,6.8,Racing,2001,6,0.997,0.122,6.539
Bloody Roar 3,PlayStation 2,7.9,Fighting,2001,6,1.119,0.052,7.046
Dave Mirra Freestyle BMX: Maximum Remix,PlayStation,5.5,Sports,2001,6,0.782,0.183,6.782
Sonic Adventure 2,Dreamcast,9.4,Platformer,2001,6,1.301,0.017,8.34
Off-Road Redneck Racing,PC,7.2,Racing,2001,6,1.056,0.06,7.141
Tweety and the Magic Gems,Game Boy Advance,4.5,Puzzle,2001,7,0.632,0.052,6.728
Rune: Viking Warlord,PlayStation 2,5.5,Action,2001,7,0.799,0.28,6.794
Extermination,PlayStation 2,6.9,Action,2001,7,1.002,0.28,6.794
Max Payne,PC,9.3,Action,2001,7,1.351,0.243,7.019
Cultures,PC,7.3,Strategy,2001,7,1.002,0.153,7.314
NCAA Football 2002,PlayStation 2,9.0,Sports,2001,7,1.279,0.185,7.206
Desperados: Wanted Dead or Alive,PC,8.1,Strategy,2001,7,1.112,0.153,7.314
MechCommander 2,PC,8.2,Strategy,2001,7,1.125,0.153,7.314
767 Pilot In Command,PC,8.5,Flight,2001,7,1.251,0.014,7.214
Soldier of Fortune,Dreamcast,8.5,Action,2001,7,1.235,0.29,7.034
Klonoa 2: Lunatea's Veil,PlayStation 2,9.2,Platformer,2001,7,1.274,0.033,7.045
Dragon Warrior III,Game Boy Color,10.0,RPG,2001,7,1.324,0.059,7.286
City Crisis,PlayStation 2,4.8,Action,2001,7,0.697,0.28,6.794
Final Fantasy Chronicles,PlayStation,9.4,RPG,2001,7,1.245,0.055,7.916
Anachronox,PC,8.0,RPG,2001,7,1.059,0.092,7.66
Rugby,PlayStation 2,7.3,Sports,2001,7,1.037,0.185,7.206
Atlantis: The Lost Empire,PlayStation,7.5,Action,2001,7,1.089,0.297,6.203
Dark Angel: Vampire Apocalypse,PlayStation 2,5.2,Action,2001,7,0.755,0.28,6.794
Empire of the Ants,PC,6.0,Strategy,2001,7,0.823,0.153,7.314
Pac-Man Collection,Game Boy Advance,9.0,Action,2001,7,1.307,0.407,6.456
The Mummy Returns,Game Boy Color,3.0,Action,2001,7,0.436,0.359,6.362
Sports Jam,Dreamcast,7.1,Sports,2001,7,1.009,0.14,7.373
Ephemeral Fantasia,PlayStation 2,4.2,RPG,2001,7,0.556,0.048,7.442
Alone in the Dark: The New Nightmare,PC,8.0,Adventure,2001,7,1.138,0.119,7.203
Legends of Might and Magic,PC,5.5,Action,2001,7,0.799,0.243,7.019
Green Berets,PC,6.0,Strategy,2001,9,0.823,0.153,7.314
Operation Flashpoint: Cold War Crisis,PC,8.8,Shooter,2001,8,1.235,0.102,7.097
ESPN Final Round Golf 2002,Game Boy Advance,6.5,Sports,2001,8,0.924,0.109,6.418
NCAA College Football 2K2: Road to the Rose Bowl,Dreamcast,7.8,Sports,2001,8,1.108,0.14,7.373
Atari Anniversary Edition,Dreamcast,7.5,Action,2001,8,1.089,0.29,7.034
Sudden Strike: Forever,PC,7.4,Strategy,2001,8,1.015,0.153,7.314
Mario Kart Super Circuit,Game Boy Advance,9.5,Racing,2001,8,1.393,0.088,6.722
Stretch Panic,PlayStation 2,7.0,Action,2001,8,1.017,0.28,6.794
Lightweight Ninja,PC,6.0,Platformer,2001,8,0.831,0.017,7.474
SEGA Bass Fishing 2,Dreamcast,8.3,Hunting,2001,8,1.464,0.014,7.95
Saiyuki: Journey West,PlayStation,8.4,Strategy,2001,8,1.153,0.035,6.65
Madden NFL 2002,PC,7.0,Sports,2001,8,0.995,0.053,7.0
Resident Evil -- CODE: Veronica X,PlayStation 2,6.5,Action,2001,8,0.944,0.28,6.794
Armored Core 2: Another Age,PlayStation 2,7.8,Action,2001,8,1.133,0.28,6.794
Independence War 2: The Edge of Chaos,PC,8.2,Simulation,2001,8,1.197,0.053,7.105
Arcanum: Of Steamworks and Magick Obscura,PC,8.7,RPG,2001,8,1.152,0.092,7.66
Le Mans 24 Hours,PlayStation 2,8.0,Racing,2001,8,1.173,0.122,6.539
Test Drive Off-Road -- Wide Open,PlayStation 2,6.5,Racing,2001,8,0.953,0.122,6.539
Shogun: Total War -- The Mongol Invasion,PC,8.9,Strategy,2001,8,1.221,0.153,7.314
Gadget Racers,PlayStation 2,6.0,Racing,2001,8,0.88,0.122,6.539
Political Tycoon,PC,5.4,Strategy,2001,8,0.741,0.153,7.314
XG3 Extreme-G Racing,PlayStation 2,8.4,Racing,2001,8,1.232,0.122,6.539
Death Crimson OX,Dreamcast,4.3,Action,2001,8,0.625,0.29,7.034
Combat Command 2: Desert Rats,PC,6.0,Strategy,2001,8,0.823,0.153,7.314
Anarchy Online,PC,7.2,RPG,2001,8,0.953,0.092,7.66
Madden NFL 2002,PlayStation 2,9.2,Sports,2001,8,1.307,0.185,7.206
Star Monkey,PC,7.7,Action,2001,8,1.118,0.243,7.019
Fortress,Game Boy Advance,6.0,Strategy,2001,8,0.823,0.026,7.556
The Settlers (Fourth Edition),PC,7.0,Strategy,2001,8,0.961,0.153,7.314
Conquest: Frontier Wars,PC,8.8,Strategy,2001,8,1.208,0.153,7.314
Razor Freestyle Scooter,Dreamcast,6.2,Sports,2001,8,0.881,0.14,7.373
Majestic,PC,7.5,Adventure,2001,8,1.067,0.119,7.203
World Series Baseball 2K2,Dreamcast,8.7,Sports,2001,8,1.236,0.14,7.373
Divided Ground: The Middle East Conflict  1948-1973,PC,6.1,Strategy,2001,8,0.837,0.153,7.314
ESPN X Games Skateboarding,PlayStation 2,4.9,Sports,2001,8,0.696,0.185,7.206
TRL Trivia,PC,5.0,Puzzle,2001,8,0.702,0.028,7.075
The Corporate Machine,PC,8.1,Simulation,2001,8,1.182,0.053,7.105
Hot Wired,PC,5.3,Racing,2001,8,0.777,0.06,7.141
Gran Turismo 3 A-spec,PlayStation 2,9.8,Racing,2001,8,1.437,0.122,6.539
WWII Online,PC,5.9,Action,2001,8,0.857,0.243,7.019
Eurofighter Typhoon,PC,8.3,Flight,2001,8,1.222,0.014,7.214
Alien Front Online,Dreamcast,8.5,Action,2001,8,1.235,0.29,7.034
Last Blade 2: Heart of the Samurai,Dreamcast,8.7,Fighting,2001,8,1.233,0.094,8.296
Reel Fishing Wild,Dreamcast,6.8,Hunting,2001,8,1.2,0.014,7.95
The Sting!,PC,7.5,Strategy,2001,8,1.029,0.153,7.314
Mobile Suit Gundam: Journey to Jaburo,PlayStation 2,6.5,Action,2001,8,0.944,0.28,6.794
Outtrigger,Dreamcast,8.6,Action,2001,7,1.249,0.29,7.034
Floigan Brothers,Dreamcast,8.4,Adventure,2001,7,1.195,0.038,6.282
Pokemon Crystal Version,Game Boy Color,9.0,RPG,2001,7,1.192,0.059,7.286
Jurassic Park III: The DNA Factor,Game Boy Advance,5.0,Action,2001,7,0.726,0.407,6.456
Silent Hill 2,PlayStation 2,9.0,Adventure,2001,9,1.28,0.039,6.315
Open Kart,PC,6.8,Racing,2001,9,0.997,0.06,7.141
Zero Gunner 2,Dreamcast,8.3,Action,2001,9,1.206,0.29,7.034
NFL Blitz 20-02,Game Boy Advance,2.5,Sports,2001,9,0.355,0.109,6.418
NHL 2002,PlayStation 2,9.2,Sports,2001,9,1.307,0.185,7.206
Snood,Game Boy Advance,6.5,Puzzle,2001,10,0.913,0.052,6.728
Sports Illustrated for Kids: Baseball,Game Boy Advance,3.5,Sports,2001,10,0.497,0.109,6.418
Final Fight One,Game Boy Advance,8.5,Action,2001,10,1.235,0.407,6.456
Lady Sia,Game Boy Advance,8.0,Platformer,2001,10,1.108,0.08,6.99
Throne of Darkness,PC,7.5,RPG,2001,10,0.993,0.092,7.66
Portal Runner,PlayStation 2,5.4,Adventure,2001,9,0.768,0.039,6.315
Spider-Man [2001],PC,6.0,Platformer,2001,9,0.831,0.017,7.474
NFL 2K2,Dreamcast,9.0,Sports,2001,9,1.279,0.14,7.373
WWF Betrayal,Game Boy Color,6.0,Action,2001,9,0.871,0.359,6.362
Wendy: Every Witch Way,Game Boy Color,8.0,Action,2001,9,1.162,0.359,6.362
Tales of Destiny II,PlayStation,8.5,RPG,2001,9,1.125,0.055,7.916
Ooga Booga,Dreamcast,9.4,Action,2001,9,1.365,0.29,7.034
Phantasy Star Online Version 2,Dreamcast,8.5,RPG,2001,10,1.125,0.038,7.7
Time Crisis II,PlayStation 2,8.7,Shooter,2001,10,1.221,0.065,6.655
Guilty Gear X,PlayStation 2,8.8,Fighting,2001,10,1.247,0.052,7.046
Kessen II,PlayStation 2,8.4,Strategy,2001,10,1.153,0.029,7.362
X-Men: Mutant Academy 2,PlayStation,8.3,Fighting,2001,10,1.176,0.073,6.524
Dragon Riders -- Chronicles of Pern,PC,3.8,Action,2001,10,0.552,0.243,7.019
Monopoly Tycoon,PC,8.2,Strategy,2001,10,1.125,0.153,7.314
SpyHunter,PlayStation 2,8.9,Racing,2001,10,1.305,0.122,6.539
Red Faction,PC,8.8,Shooter,2001,9,1.235,0.102,7.097
Mat Hoffman's Pro BMX,Dreamcast,8.1,Sports,2001,9,1.151,0.14,7.373
NHL 2002,PC,9.2,Sports,2001,9,1.307,0.053,7.0
Silent Scope 2: Dark Silhouette,PlayStation 2,6.7,Action,2001,9,0.973,0.28,6.794
Shattered Galaxy,PC,8.0,Strategy,2001,9,1.098,0.153,7.314
Far Gate,PC,8.0,Strategy,2001,9,1.098,0.153,7.314
LEGO Racers 2,PC,7.8,Racing,2001,9,1.144,0.06,7.141
Casper: Spirit Dimensions,PlayStation 2,6.0,Adventure,2001,10,0.853,0.039,6.315
Zax: The Alien Hunter,PC,7.7,Action,2001,9,1.118,0.243,7.019
Jurassic Park III: Park Builder,Game Boy Advance,7.0,Simulation,2001,9,1.022,0.011,6.929
High Heat Major League Baseball 2002,Game Boy Advance,4.5,Sports,2001,9,0.639,0.109,6.418
Spider-Man: Mysterio's Menace,Game Boy Advance,8.5,Action,2001,9,1.235,0.407,6.456
Monster Rancher 3,PlayStation 2,7.9,Battle,2001,9,1.272,0.003,7.44
Klonoa: Empire of Dreams,Game Boy Advance,9.0,Platformer,2001,9,1.246,0.08,6.99
Tang Tang,Game Boy Advance,5.0,Puzzle,2001,9,0.702,0.052,6.728
Advance Wars,Game Boy Advance,9.9,Strategy,2001,9,1.359,0.026,7.556
Remote Assault,PC,5.3,Strategy,2001,9,0.727,0.153,7.314
NFL QB Club 2002,PlayStation 2,5.8,Sports,2001,9,0.824,0.185,7.206
Gallop Racer 2001,PlayStation 2,7.9,Simulation,2001,9,1.153,0.011,7.153
Dragon Riders -- Chronicles of Pern,Dreamcast,3.6,Action,2001,9,0.523,0.29,7.034
Dave Mirra Freestyle BMX 2,PlayStation 2,8.0,Sports,2001,9,1.137,0.185,7.206
Men In Black: The Series,Game Boy Advance,2.0,Action,2001,9,0.29,0.407,6.456
ESPN X Games Skateboarding,Game Boy Advance,5.5,Action,2001,9,0.799,0.407,6.456
ICO,PlayStation 2,9.4,Adventure,2001,9,1.337,0.039,6.315
NHL Hitz 20-02,PlayStation 2,7.6,Sports,2001,9,1.08,0.185,7.206
Batman Vengeance,PlayStation 2,8.0,Action,2001,10,1.162,0.28,6.794
Trouballs,Game Boy Color,7.0,Puzzle,2001,10,0.983,0.073,6.808
Zoo Tycoon [2001],PC,6.9,Simulation,2001,10,1.007,0.053,7.105
Kinetica,PlayStation 2,8.0,Racing,2001,10,1.173,0.122,6.539
Devil May Cry,PlayStation 2,9.6,Action,2001,10,1.394,0.28,6.794
Project Eden,PC,9.0,Action,2001,10,1.307,0.243,7.019
NASCAR Thunder 2002,PlayStation 2,8.3,Racing,2001,10,1.217,0.122,6.539
Rails Across America,PC,7.5,Strategy,2001,10,1.029,0.153,7.314
OKAGE: Shadow King,PlayStation 2,7.2,RPG,2001,10,0.953,0.048,7.442
Paris-Dakar Rally,PlayStation 2,2.5,Racing,2001,10,0.367,0.122,6.539
The Mummy Returns,PlayStation 2,4.6,Action,2001,10,0.668,0.28,6.794
Yanya Caballista: City Skater,PlayStation 2,4.0,Sports,2001,10,0.568,0.185,7.206
Victorious Boxers: Ippo's Road to Glory,PlayStation 2,8.6,Sports,2001,11,1.222,0.185,7.206
Splashdown,PlayStation 2,8.8,Racing,2001,11,1.29,0.122,6.539
Bionicle: Tales of the Tohunga,Game Boy Advance,4.5,Adventure,2001,11,0.64,0.023,6.057
Cel Damage,Xbox,6.5,Action,2001,11,0.944,0.305,7.028
NBA Live 2002,PlayStation 2,7.6,Sports,2001,11,1.08,0.185,7.206
Super Street Fighter II Turbo Revival,Game Boy Advance,8.0,Fighting,2001,11,1.133,0.036,6.214
Magic & Mayhem 2: The Art of Magic,PC,7.8,Strategy,2001,10,1.07,0.153,7.314
MX Rider,PlayStation 2,6.2,Simulation,2001,10,0.905,0.011,7.153
Smuggler's Run 2: Hostile Territory,PlayStation 2,8.7,Racing,2001,10,1.276,0.122,6.539
Tetris Worlds,Game Boy Advance,5.5,Puzzle,2001,10,0.773,0.052,6.728
Heavy Metal: Geomatrix,Dreamcast,7.5,Shooter,2001,10,1.052,0.063,7.617
Sports Illustrated for Kids: Football,Game Boy Advance,5.0,Sports,2001,10,0.71,0.109,6.418
Command & Conquer: Yuri's Revenge -- Red Alert 2 Expansion,PC,8.6,Strategy,2001,10,1.18,0.153,7.314
F1 2001,PlayStation 2,7.8,Racing,2001,10,1.144,0.122,6.539
Formula One 2001,PlayStation 2,7.0,Racing,2001,10,1.027,0.122,6.539
Commandos 2: Men of Courage,PC,9.0,Strategy,2001,10,1.235,0.153,7.314
Aliens vs. Predator 2,PC,8.2,Shooter,2001,11,1.151,0.102,7.097
Capcom vs. SNK 2: Mark of the Millennium 2001,PlayStation 2,8.4,Fighting,2001,11,1.19,0.052,7.046
SSX Tricky,PlayStation 2,9.4,Sports,2001,11,1.336,0.185,7.206
Mystery of the Druids,PC,4.5,Adventure,2001,11,0.64,0.119,7.203
4x4 Evo 2,PC,8.4,Racing,2001,11,1.232,0.06,7.141
Mat Hoffman's Pro BMX,PC,7.2,Sports,2001,11,1.023,0.053,7.0
Burnout,PlayStation 2,8.6,Racing,2001,11,1.261,0.122,6.539
Dark Age of Camelot,PC,9.0,RPG,2001,11,1.192,0.092,7.66
Sunny Garcia Surfing,PlayStation 2,7.0,Sports,2001,10,0.995,0.185,7.206
Top Gun: Combat Zones,PlayStation 2,5.9,Flight,2001,10,0.869,0.013,7.236
Tony Hawk's Pro Skater 3,PlayStation 2,9.7,Sports,2001,10,1.378,0.185,7.206
Sid Meier's Civilization III,PC,9.3,Strategy,2001,10,1.276,0.153,7.314
Tennis 2K2,Dreamcast,9.6,Sports,2001,10,1.364,0.14,7.373
Spider-Man 2: Enter Electro,PlayStation,5.5,Action,2001,10,0.799,0.297,6.203
Alone in the Dark: The New Nightmare,Dreamcast,7.3,Adventure,2001,10,1.038,0.038,6.282
BASS Strike,PlayStation 2,6.2,Hunting,2001,10,1.094,0.012,6.085
Arctic Thunder,PlayStation 2,3.0,Racing,2001,10,0.44,0.122,6.539
The Typing of the Dead,PC,8.0,Educational,2001,10,1.272,0.001,6.92
LEGO Racers 2,PlayStation 2,6.0,Racing,2001,10,0.88,0.122,6.539
X-Men: Reign of Apocalypse,Game Boy Advance,7.0,Action,2001,10,1.017,0.407,6.456
Project Eden,PlayStation 2,7.8,Action,2001,11,1.133,0.28,6.794
NBA 2K2,Dreamcast,9.4,Sports,2001,11,1.336,0.14,7.373
FIFA Soccer 2002,PlayStation 2,8.5,Sports,2001,11,1.208,0.185,7.206
Soul Reaver 2: Legacy of Kain,PlayStation 2,9.0,Action,2001,11,1.307,0.28,6.794
BackTrack,Game Boy Advance,4.0,Shooter,2001,11,0.561,0.029,6.444
Doom (1993),Game Boy Advance,8.9,Shooter,2001,11,1.249,0.029,6.444
Dragon Warrior Monsters 2: Tara's Adventure,Game Boy Color,9.0,RPG,2001,11,1.192,0.059,7.286
Crash Bandicoot: The Wrath of Cortex,PlayStation 2,7.4,Platformer,2001,11,1.025,0.033,7.045
Pool of Radiance: Ruins of Myth Drannor,PC,6.0,RPG,2001,10,0.794,0.092,7.66
Looney Tunes: Sheep Raider,PlayStation,8.0,Platformer,2001,10,1.108,0.044,6.559
Stronghold,PC,8.7,Strategy,2001,10,1.194,0.153,7.314
WWF With Authority!,PC,6.8,Card,2001,10,0.985,0.004,7.129
Supercar Street Challenge,PlayStation 2,5.7,Racing,2001,10,0.836,0.122,6.539
Real War,PC,4.8,Strategy,2001,10,0.659,0.153,7.314
Castlevania Chronicles,PlayStation,7.8,Action,2001,10,1.133,0.297,6.203
Gadget Racers,Game Boy Advance,7.0,Racing,2001,11,1.027,0.088,6.722
MechWarrior 4: Black Knight,PC,8.6,Action,2001,11,1.249,0.243,7.019
Dragon Warrior Monsters 2: Cobi's Journey,Game Boy Color,9.0,RPG,2001,11,1.192,0.059,7.286
F-14 Tomcat,Game Boy Advance,6.0,Simulation,2001,11,0.876,0.011,6.929
Power Rangers Time Force,Game Boy Advance,6.0,Action,2001,11,0.871,0.407,6.456
Ace Combat 4: Shattered Skies,PlayStation 2,9.1,Flight,2001,10,1.34,0.013,7.236
Toki Tori,Game Boy Color,9.0,Puzzle,2001,10,1.264,0.073,6.808
Boxing Fever,Game Boy Advance,8.5,Sports,2001,10,1.208,0.109,6.418
Grand Theft Auto III,PlayStation 2,9.6,Action,2001,10,1.394,0.28,6.794
The Weakest Link,PC,3.5,Puzzle,2001,10,0.492,0.028,7.075
Thunderstrike: Operation Phoenix,PlayStation 2,7.0,Flight,2001,10,1.031,0.013,7.236
Planet of the Apes,PC,4.0,Action,2001,10,0.581,0.243,7.019
Dead or Alive 3,Xbox,9.4,Fighting,2001,11,1.332,0.048,6.787
Dave Mirra Freestyle BMX 2,Xbox,6.9,Sports,2001,11,0.98,0.208,7.872
4x4 Evo 2,Xbox,7.1,Racing,2001,11,1.041,0.136,6.98
F1 2001,PC,7.9,Racing,2001,11,1.158,0.06,7.141
Driven,PlayStation 2,2.0,Racing,2001,11,0.293,0.122,6.539
James Bond 007: Agent Under Fire,PlayStation 2,7.9,Shooter,2001,11,1.109,0.065,6.655
Shaun Palmer's Pro Snowboarder,PlayStation 2,3.0,Sports,2001,11,0.426,0.185,7.206
NFL Fever 2002,Xbox,7.9,Sports,2001,11,1.123,0.208,7.872
Tony Hawk's Pro Skater 2,Nintendo 64,8.6,Sports,2001,11,1.222,0.22,7.136
Golden Sun,Game Boy Advance,9.7,RPG,2001,11,1.284,0.072,7.539
Oddworld: Munch's Oddysee,Xbox,7.4,Adventure,2001,11,1.052,0.034,6.821
Tony Hawk's Pro Skater 3,PlayStation,9.6,Sports,2001,11,1.364,0.183,6.782
Harry Potter and the Sorcerer's Stone,PlayStation,8.0,Adventure,2001,11,1.138,0.051,6.298
Tom Clancy's Ghost Recon,PC,9.3,Action,2001,11,1.351,0.243,7.019
Mega Man Battle Network,Game Boy Advance,8.5,RPG,2001,11,1.125,0.072,7.539
Project Gotham Racing,Xbox,8.8,Racing,2001,11,1.29,0.136,6.98
Halo: Combat Evolved,Xbox,9.7,Shooter,2001,11,1.361,0.118,7.485
Dexter's Laboratory: Deesaster Strikes,Game Boy Advance,6.5,Action,2001,11,0.944,0.407,6.456
Fuzion Frenzy,Xbox,8.3,Party,2001,11,1.407,0.006,5.2
Madden NFL 2002,Xbox,8.6,Sports,2001,11,1.222,0.208,7.872
Myth III: The Wolf Age,PC,8.7,Strategy,2001,11,1.194,0.153,7.314
NASCAR Thunder 2002,Xbox,8.5,Racing,2001,11,1.246,0.136,6.98
Test Drive Off-Road -- Wide Open,Xbox,7.0,Racing,2001,11,1.027,0.136,6.98
Microsoft Flight Simulator 2002,PC,9.0,Flight,2001,11,1.325,0.014,7.214
"Monsters, Inc. Scream Team",PlayStation,7.5,Platformer,2001,11,1.038,0.044,6.559
Super Monkey Ball,GameCube,8.3,Puzzle,2001,11,1.166,0.018,6.9
Luigi's Mansion,GameCube,7.0,Adventure,2001,11,0.996,0.028,6.771
Star Wars Rogue Squadron II: Rogue Leader,GameCube,9.1,Flight,2001,11,1.34,0.008,6.1
Asheron's Call: Dark Majesty,PC,8.4,RPG,2001,11,1.112,0.092,7.66
Tony Hawk's Pro Skater 3,GameCube,9.1,Sports,2001,11,1.293,0.22,7.566
Spyro the Dragon: Season of Ice,Game Boy Advance,8.0,Action,2001,11,1.162,0.407,6.456
Motor City Online,PC,7.9,Racing,2001,11,1.158,0.06,7.141
Madden NFL 2002,GameCube,8.7,Sports,2001,11,1.236,0.22,7.566
Metal Gear Solid 2: Sons of Liberty,PlayStation 2,9.7,Action,2001,11,1.409,0.28,6.794
Harry Potter and the Sorcerer's Stone,PC,6.4,Action,2001,11,0.93,0.243,7.019
Half-Life,PlayStation 2,9.1,Action,2001,11,1.322,0.28,6.794
Stunt GP,PlayStation 2,5.0,Racing,2001,11,0.733,0.122,6.539
Soldier of Fortune (Gold Edition),PlayStation 2,4.5,Shooter,2001,11,0.631,0.065,6.655
NHL Hitz 20-02,Xbox,8.0,Sports,2001,11,1.137,0.208,7.872
Silent Hunter II,PC,7.8,Simulation,2001,11,1.139,0.053,7.105
Jumpgate: The Reconstruction Initiative,PC,7.8,Simulation,2001,11,1.139,0.053,7.105
Dark Summit,Xbox,7.9,Sports,2001,11,1.123,0.208,7.872
18-Wheeler: American Pro Trucker,PlayStation 2,5.5,Racing,2001,11,0.807,0.122,6.539
Tom Clancy's Rainbow Six: Rogue Spear: Black Thorn,PC,7.0,Action,2001,11,1.017,0.243,7.019
Ultimate Ride,PC,7.8,Simulation,2001,11,1.139,0.053,7.105
Supercar Street Challenge,PC,4.9,Racing,2001,11,0.719,0.06,7.141
Tony Hawk's Pro Skater 2x,Xbox,7.5,Sports,2001,11,1.066,0.208,7.872
AirForce Delta Storm,Xbox,6.2,Action,2001,11,0.901,0.305,7.028
Vampire Night,PlayStation 2,7.3,Shooter,2001,11,1.024,0.065,6.655
Ms. Pac-Man: Quest for the Golden Maze,PC,3.0,Platformer,2001,11,0.415,0.017,7.474
Midnight Club: Street Racing,Game Boy Advance,4.5,Racing,2001,11,0.66,0.088,6.722
Harry Potter and the Sorcerer's Stone,Game Boy Color,7.0,RPG,2001,11,0.927,0.059,7.286
NBA Live 2002,Xbox,7.8,Sports,2001,11,1.108,0.208,7.872
Harvest Moon: Save the Homeland,PlayStation 2,8.8,RPG,2001,11,1.165,0.048,7.442
Dave Mirra Freestyle BMX 2,GameCube,8.0,Sports,2001,11,1.137,0.22,7.566
Harry Potter and the Sorcerer's Stone,Game Boy Advance,6.0,Adventure,2001,11,0.853,0.023,6.057
Mad Dash Racing,Xbox,7.7,Racing,2001,11,1.129,0.136,6.98
Tarzan Untamed,GameCube,6.3,Action,2001,11,0.915,0.289,6.938
NFL 2K2,PlayStation 2,9.0,Sports,2001,11,1.279,0.185,7.206
Bomberman Online,Dreamcast,9.0,Action,2001,11,1.307,0.29,7.034
Europa Universalis II,PC,9.0,Strategy,2001,11,1.235,0.153,7.314
FIFA Soccer 2002,PC,6.3,Sports,2001,11,0.895,0.053,7.0
World War III: Black Gold,PC,6.2,Strategy,2001,11,0.851,0.153,7.314
Wario Land 4,Game Boy Advance,9.0,RPG,2001,11,1.192,0.072,7.539
Star Wars Galactic Battlegrounds,PC,8.0,Strategy,2001,11,1.098,0.153,7.314
ESPN NFL Prime Time 2002,PlayStation 2,5.8,Sports,2001,11,0.824,0.185,7.206
WWF SmackDown! Just Bring It,PlayStation 2,7.8,Wrestling,2001,11,1.116,0.012,7.4
Batman Vengeance,GameCube,8.1,Action,2001,11,1.176,0.289,6.938
Tokimeki Check In!,PC,2.0,Simulation,2001,11,0.292,0.053,7.105
Road to India: Between Hell and Nirvana,PC,5.2,Adventure,2001,11,0.74,0.119,7.203
Shrek,Xbox,5.6,Action,2001,11,0.813,0.305,7.028
AquaNox,PC,7.0,Action,2001,11,1.017,0.243,7.019
Batman Vengeance,Game Boy Advance,6.0,Action,2001,11,0.871,0.407,6.456
Scooby-Doo and the Cyber Chase,Game Boy Advance,3.5,Action,2001,11,0.508,0.407,6.456
Wave Race: Blue Storm,GameCube,9.2,Racing,2001,11,1.349,0.104,6.574
Etherlords,PC,8.1,Strategy,2001,12,1.112,0.153,7.314
Larry Ragland's 4x4 Challenge,PC,5.0,Racing,2001,12,0.733,0.06,7.141
Jak and Daxter: The Precursor Legacy,PlayStation 2,9.4,Platformer,2001,12,1.301,0.033,7.045
Super Bust-A-Move,Game Boy Advance,8.8,Puzzle,2001,12,1.236,0.052,6.728
