title,platform,score,genre,release_year,release_month
Mortal Kombat 1,PC,8,Fighting,2023,9
Cassandro,On-Demand,7,Action,2023,9
Party Animals,PC,7,Fighting,2023,9
Party Animals,Xbox One,7,Fighting,2023,9
The Crew Motorfest,PC,7,Ubisoft,2023,9
The Crew Motorfest,Xbox One,7,Ubisoft,2023,9
Dune: Spice Wars,PC,9,PC,2023,11
Lies of P,PC,8,Action,2023,9
Lies of P,PlayStation 5,8,Action,2023,9
Lies of P,Xbox One,8,Action,2023,9
Lies of P,PlayStation 4,8,Action,2023,9
NBA 2K24,PlayStation 5,6,Sports,2023,9
Starfield,PC,7,RPG,2023,9
Trine 5: A Clockwork Conspiracy,Xbox Series X|S,8,Action,2023,8
Trine 5: A Clockwork Conspiracy,PC,8,Action,2023,8
Trine 5: A Clockwork Conspiracy,PlayStation 4,8,Action,2023,8
Trine 5: A Clockwork Conspiracy,Xbox One,8,Action,2023,8
Sea of Stars,Xbox One,8,RPG,2023,8
Sea of Stars,PC,8,RPG,2023,8
Sea of Stars,PlayStation 4,8,RPG,2023,8
Armored Core 6,PC,8,Action,2023,8
Armored Core 6,Xbox One,8,Action,2023,8
Armored Core 6,PlayStation 4,8,Action,2023,8
Madden NFL 24,PC,6,Sports,2023,8
Madden NFL 24,PlayStation 5,6,Sports,2023,8
Immortals of Aveum,PC,8,Action,2023,8
Immortals of Aveum,PlayStation 5,8,Action,2023,8
Baldur's Gate III,Macintosh,10,Dungeons and Dragons [D&D],2023,12
Baldur's Gate III,PC,10,Dungeons and Dragons [D&D],2023,12
Baldur's Gate III,Xbox Series X|S,10,Dungeons and Dragons [D&D],2023,12
Blasphemous 2,PlayStation 5,8,Action,2023,8
Blasphemous 2,PC,8,Action,2023,8
WrestleQuest,PlayStation 4,6,Wrestling,2023,8
WrestleQuest,iPhone,6,Wrestling,2023,8
WrestleQuest,Android,6,Wrestling,2023,8
WrestleQuest,Nintendo Switch,6,Wrestling,2023,8
WrestleQuest,PC,6,Wrestling,2023,8
WrestleQuest,Xbox One,6,Wrestling,2023,8
Gord,PC,4,RPG,2023,8
The Texas Chain Saw Massacre,PlayStation 4,6,Action,2023,8
The Texas Chain Saw Massacre,Xbox One,6,Action,2023,8
The Texas Chain Saw Massacre,PC,6,Action,2023,8
Moving Out 2,PC,8,Action,2023,8
Moving Out 2,PlayStation 4,8,Action,2023,8
Moving Out 2,PlayStation 5,8,Action,2023,8
Moving Out 2,Xbox One,8,Action,2023,8
Atomic Heart - Annihilation Instinct,Xbox One,6,Action,2023,8
Atomic Heart - Annihilation Instinct,PC,6,Action,2023,8
Atomic Heart - Annihilation Instinct,PlayStation 5,6,Action,2023,8
Atomic Heart - Annihilation Instinct,PlayStation 4,6,Action,2023,8
Atlas Fallen,PC,7,Action,2023,8
Atlas Fallen,PlayStation 5,7,Action,2023,8
Stray Gods,Xbox One,7,Adventure,2023,8
Stray Gods,PC,7,Adventure,2023,8
Stray Gods,PlayStation 4,7,Adventure,2023,8
Stray Gods,PlayStation 5,7,Adventure,2023,8
The Expanse,Xbox Series X|S,7,Adventure,2023,7
The Expanse,Xbox One,7,Adventure,2023,7
The Expanse,PC,7,Adventure,2023,7
The Expanse,PlayStation 4,7,Adventure,2023,7
F1 Manager 23,Xbox One,8,Racing,2023,7
F1 Manager 23,PlayStation 4,8,Racing,2023,7
F1 Manager 23,Xbox Series X|S,8,Racing,2023,7
F1 Manager 23,PC,8,Racing,2023,7
Double Dragon Gaiden: Rise of the Dragons,PlayStation 4,7,Action,2023,7
Double Dragon Gaiden: Rise of the Dragons,PC,7,Action,2023,7
Double Dragon Gaiden: Rise of the Dragons,Xbox One,7,Action,2023,7
Exoprimal,Xbox One,8,Action,2023,7
Exoprimal,PlayStation 4,8,Action,2023,7
Exoprimal,PC,8,Action,2023,7
Remnant II,PC,9,PC,2023,7
Unholy,PC,4,Action,2024,12
Unholy,Xbox Series X|S,4,Action,2024,12
Viewfinder,PC,8,Puzzle,2023,12
Viewfinder,PlayStation 4,8,Puzzle,2023,12
Testament: The Order of High-Human,PC,2,Action,2023,7
Jagged Alliance 3,PlayStation 4,9,PC,2023,11
Jagged Alliance 3,Xbox One,9,PC,2023,11
Oxenfree II: Lost Signals,PC,7,Adventure,2023,7
Oxenfree II: Lost Signals,PlayStation 4,7,Adventure,2023,7
Crash Team Rumble,Xbox One,7,Action,2023,6
Crash Team Rumble,Xbox Series X|S,7,Action,2023,6
Crash Team Rumble,PlayStation 4,7,Action,2023,6
The Legend of Heroes: Trails into Reverie,PlayStation 4,8,RPG,2023,7
The Legend of Heroes: Trails into Reverie,PlayStation 5,8,RPG,2023,7
The Legend of Heroes: Trails into Reverie,PC,8,RPG,2023,7
AEW: Fight Forever,Xbox Series X|S,6,Wrestling,2023,6
AEW: Fight Forever,PlayStation 4,6,Wrestling,2023,6
AEW: Fight Forever,Xbox One,6,Wrestling,2023,6
